Player,Age,Team,Pos,GP,G,A,PTS,PlusMin,PS,S,TOI,BLK,HIT
Tyler Lewington,27,BOS,D,2,0,0,0,-1,0,2,25,2,1
Trevor Lewis,35,CGY,C,80,6,10,16,-1,0.3,108,1027,40,176
Timothy Liljegren,22,TOR,D,61,5,18,23,15,4.2,79,1000,60,87
Kole Lind,23,SEA,RW,23,2,6,8,-1,0.5,31,272,10,18
Oskar Lindblom,25,PHI,LW,79,12,14,26,-11,1.7,127,1090,48,83
Petteri Lindbohm,28,FLA,D,9,0,1,1,0,0.1,9,127,8,25
Esa Lindell,27,DAL,D,76,4,21,25,4,5.5,136,1675,148,111
Ryan Lindgren,23,NYR,D,78,4,11,15,18,5.1,73,1568,141,129
Elias Lindholm,27,CGY,C,82,42,40,82,61,11.4,235,1635,52,66
Hampus Lindholm,28,TOT,D,71,5,22,27,10,5.8,142,1598,92,70
Gustav Lindstrom,23,DET,D,63,1,12,13,-12,1.5,41,1015,77,59
Blake Lizotte,24,LAK,C,70,10,14,24,15,2.6,91,851,12,74
Jon Lizotte,27,MIN,D,1,0,0,0,0,0,1,15,4,3
William Lockwood,23,VAN,RW,13,0,0,0,-3,-0.3,13,147,9,49
Viktor Lodin,22,OTT,C,1,0,0,0,0,0,3,10,0,0
Ryan Lomberg,27,FLA,LW,55,9,9,18,4,1.4,91,627,7,117
Steven Lorentz,25,CAR,C,67,8,5,13,0,0.8,80,730,13,67
Adam Lowry,28,WPG,LW,79,13,8,21,1,1.3,115,1223,43,231
Milan Lucic,33,CGY,LW,82,10,11,21,-9,0.9,95,1005,22,209
Matt Luff,24,NSH,RW,23,3,3,6,3,0.6,26,216,4,29
Anton Lundell,20,FLA,C,65,18,26,44,33,5,125,1023,56,26
Isac Lundestrom,22,ANA,C,80,16,13,29,-3,2.4,83,1239,55,38
Nils Lundkvist,21,NYR,D,25,1,3,4,4,1.2,32,348,15,15
Eetu Luostarinen,23,FLA,C,78,9,17,26,1,1.2,84,1048,46,103
Ilya Lyubushkin,27,TOT,D,77,2,13,15,-2,2.6,54,1344,92,187
Olli Maatta,27,LAK,D,66,1,7,8,17,3.4,61,1207,94,67
Matias Maccelli,21,ARI,LW,23,1,5,6,-10,-0.2,21,327,8,12
Kurtis MacDermid,27,COL,D,58,2,3,5,1,0.9,46,429,22,105
Jacob MacDonald,28,COL,D,8,0,0,0,-1,0,17,81,3,9
